Species,Experiment,Patrol,SpeciesAnal,Site,TwigCodeNoPatrol,TwigArea_sum,TwigHerbivory_sum,TwigHerbProp,StartEndDiff,SaplingCodeNoPatrol,SaplingCodeUnique,TwigCodeUnique
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_Red,585.23785,35.49726,0.060654416,0.053523515,,BUB_Baccaurea_ramiflora_4CN1_D,BUB_Baccaurea_ramiflora_4CN1_Red_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_A,BUB_Baccaurea_ramiflora_4CN1_White_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_White,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_B,BUB_Baccaurea_ramiflora_4CN1_White_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_White,482.27073,2.24127,0.004647327,NA,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_C,BUB_Baccaurea_ramiflora_4CN1_White_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_4CN1_White,291.93769,10.73528,0.036772504,0.032125177,BUB_Baccaurea_ramiflora_4CN1,BUB_Baccaurea_ramiflora_4CN1_D,BUB_Baccaurea_ramiflora_4CN1_White_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_A,BUB_Baccaurea_ramiflora_5CN1_Blue_A
SP4,1MO,B,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_Blue,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_B,BUB_Baccaurea_ramiflora_5CN1_Blue_B
SP4,1MO,C,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_Blue,525.42601,5.49399,0.010456258,NA,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_C,BUB_Baccaurea_ramiflora_5CN1_Blue_C
SP4,1MO,D,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_Blue,471.78126,29.6731,0.062895885,0.052439627,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_D,BUB_Baccaurea_ramiflora_5CN1_Blue_D
SP4,1MO,A,Baccaurea_ramiflora,BUB,BUB_Baccaurea_ramiflora_5CN1_Red,NA,NA,NA,NA,BUB_Baccaurea_ramiflora_5CN1,BUB_Baccaurea_ramiflora_5CN1_A,BUB_Baccaurea_ramiflora_5CN1_Red_A
